X,Y,KKOD,TEXT,TEXTTYP
2051747.56844106,8481401.6778469,3,Långviken,O
2051341.18493996,8475852.27528886,6,Öregrund,O
2052271.622742,8479613.34377342,3,Västerbyn,O
2052189.35443365,8480375.5745062,1,Sandhagen,O
2052710.02963449,8476742.61365336,71,Dummelgrund,O
2054603.2760533,8480140.97927683,1,Lenadal,O
2055032.36263695,8478868.55778039,1,Högklint,O
2054613.27260615,8481575.81309754,3,Nötsveden,O
2055614.89732236,8477503.23932732,18,Gräsö,O
2055012.25013463,8476849.05007665,1,Gräsö gård,O
2055909.86454435,8475696.38936313,51,Kullbådan,O
2056938.8897361,8480559.89934775,3,Nordangärde,O
2056944.94378857,8479413.5946632,3,Österbyn,O
2057024.23077716,8476939.61081868,1,Björkbacken,O
2056130.07306699,8476235.16507878,2,Kullbådastrand,O
2059059.1368255,8476860.26534395,1,Grinda,O
2059261.59179686,8474878.35958907,192,Skårsund,O
2059864.144426,8477268.26919742,2,Västerlund,O
2059856.17152217,8471484.76753811,52,Getskärsudden,O
2060637.04375898,8474272.38520769,1,Nyhem,O
2060608.30713927,8476211.9462124,1,Österlund,O
2062147.74431731,8475723.69144249,1,Ol-Larsvik,O
2063555.9298435,8471456.79324869,1,Lövlund,O
2063126.69624613,8473983.94424474,1,Eriksdal,O
2064177.45528926,8473495.71556336,1,Lönnholmen,O
2064307.80956655,8474986.83848515,57,Gräsö,O
2064851.61795814,8475513.35970291,52,Mon,O
2064894.99734582,8472249.10080142,1,Sundsäng,O
2065460.37832612,8472880.82315021,1,Sjöhaga,O
2064812.86615298,8476497.51715335,1,Djäknevarp,O
2065656.55730146,8471874.35075115,1,Verkvik,O
2066654.82593223,8475962.48876947,1,Svepholmen,O
2066818.88721465,8471523.58158098,1,Vargskär,O
2066949.49449609,8472263.16635608,52,Högalmen,O
2067909.48570717,8471039.17423784,52,Askörarna,O
2068262.12061538,8475506.06688223,53,Lilla Risten,O
2070037.47905919,8470895.75764074,52,Hagsudden,O
2072731.7575077,8470974.2973707,52,Sköthällorna,O
2069005.40677993,8471272.01536513,52,Tväran,O
